,Quiescent,Active,Jailed,Fighting,Legitimacy,links,run
375,764,0,215,1,0.643952888925127,3,7
376,771,0,209,0,0.6531049127701378,3,7
377,781,0,196,3,0.6577913621813694,3,7
378,796,1,182,0,0.6636977402522503,3,7
379,808,0,171,0,0.6740231420266625,3,7
380,815,0,161,3,0.6819180696908284,3,7
381,824,0,154,1,0.6858462923802613,3,7
382,831,1,144,3,0.6919120946649199,3,7
383,844,0,134,1,0.6957559597994978,3,7
384,856,2,121,0,0.7042953577188105,3,7
385,868,0,110,1,0.7112591174631169,3,7
386,875,1,102,1,0.718286477305233,3,7
387,883,1,91,4,0.7219313161553977,3,7
388,894,0,85,0,0.7255870209492831,3,7
389,905,0,73,1,0.7319355332081686,3,7
390,921,0,56,2,0.7367897385877928,3,7
391,923,3,47,6,0.7432432008057674,3,7
392,929,0,45,4,0.7427549456981684,3,7
393,934,3,40,1,0.7459670024085586,3,7
394,939,1,37,1,0.747826508902739,3,7
395,942,0,34,2,0.7500239921704713,3,7
396,929,7,33,9,0.7511177611135362,3,7
397,926,8,38,5,0.7437919360955613,3,7
398,914,12,41,10,0.7432197551986811,3,7
399,905,7,54,11,0.7368988673341399,3,7
400,905,0,67,4,0.7338553447463045,3,7
401,906,0,68,1,0.7364615201285921,3,7
