,Quiescent,Active,Jailed,Fighting,Legitimacy,cop_vision,run
315,825,0,180,4,0.6696517903979753,9,1
316,833,1,170,5,0.6785938669441167,9,1
317,838,6,160,5,0.6832730933087858,9,1
318,843,1,161,3,0.6855195655673053,9,1
319,852,0,154,2,0.6901504308222941,9,1
320,854,1,150,3,0.6960739748119636,9,1
321,866,0,142,0,0.6969471727960392,9,1
322,878,0,128,2,0.7049358174273195,9,1
323,888,0,119,1,0.7116623095613475,9,1
324,883,5,106,14,0.7175440062146667,9,1
325,895,3,109,1,0.7115222752578162,9,1
326,893,8,100,6,0.7208749965858018,9,1
327,882,19,99,7,0.7182003809037958,9,1
328,766,113,99,27,0.7099248726604137,9,1
329,671,203,114,15,0.6183925966078536,9,1
330,667,182,135,17,0.5478812912920845,9,1
331,668,174,150,9,0.5493898847587819,9,1
332,670,149,159,23,0.5528063174516858,9,1
333,670,144,178,8,0.5559135080560086,9,1
334,670,120,189,20,0.5596865179822179,9,1
335,671,108,212,8,0.5620401483431234,9,1
336,685,74,220,18,0.5668791614529282,9,1
337,706,51,236,3,0.5797702063746881,9,1
338,717,22,246,10,0.5992280113690326,9,1
339,729,15,247,4,0.6100134904533856,9,1
340,747,0,243,5,0.6196296808949007,9,1
341,760,0,233,2,0.6332059775456216,9,1
342,762,2,230,1,0.6418341628322318,9,1
343,771,0,219,5,0.642907706838626,9,1
344,778,1,213,3,0.648198148430306,9,1
345,787,1,200,7,0.6527818114123776,9,1
346,791,0,197,7,0.6577512846675391,9,1
347,805,0,189,1,0.6604563510590389,9,1
348,812,0,181,2,0.6703701621211576,9,1
349,821,0,173,1,0.6746094791571926,9,1
350,831,1,162,1,0.6804457726031117,9,1
351,841,0,154,0,0.6865124233641293,9,1
352,852,0,142,1,0.6930424108912773,9,1
353,861,0,129,5,0.6995437459702748,9,1
354,871,2,119,2,0.7041803913839967,9,1
355,879,0,112,3,0.7103520114305119,9,1
356,884,0,109,1,0.71499083824031,9,1
357,893,2,96,3,0.718056850019441,9,1
358,907,1,84,2,0.7220588048034015,9,1
359,908,3,77,6,0.7292639755335092,9,1
360,919,0,74,1,0.7286645070504715,9,1
361,924,0,67,3,0.7349900177229409,9,1
362,925,3,60,6,0.7367376797416996,9,1
363,892,31,54,17,0.7360842016750484,9,1
364,798,107,68,21,0.7139145265641985,9,1
365,665,219,90,19,0.6436825554321468,9,1
366,667,200,115,11,0.5430956116693785,9,1
367,670,181,127,14,0.5490479694727562,9,1
368,666,165,146,15,0.5538595444700969,9,1
369,671,144,164,12,0.5541951556199424,9,1
370,673,126,176,15,0.5615932248902797,9,1
371,679,105,189,15,0.5656544819047323,9,1
372,674,90,211,13,0.573372493706976,9,1
373,690,60,226,12,0.5734478459981707,9,1
374,706,33,236,12,0.588411465041652,9,1
375,729,6,248,4,0.6030504069888957,9,1
376,737,0,247,3,0.623298603865359,9,1
377,748,0,239,0,0.6294816298882455,9,1
378,756,1,230,0,0.6368514710667281,9,1
379,767,0,219,1,0.6416752311211497,9,1
380,776,0,211,0,0.648584668318467,9,1
381,789,0,198,0,0.6544368230230093,9,1
382,796,2,184,5,0.6626519652389394,9,1
383,806,0,180,1,0.6658337360935781,9,1
384,815,1,171,0,0.673206996486046,9,1
385,818,0,166,3,0.6788590885531267,9,1
386,832,0,154,0,0.6803800767697183,9,1
387,836,6,139,5,0.6898476056964722,9,1
388,836,5,139,6,0.6903396865779605,9,1
389,848,1,132,5,0.6903396865779605,9,1
390,850,0,131,5,0.6984468063946316,9,1
391,867,0,118,1,0.6998081086028897,9,1
392,873,0,110,3,0.7102933798973344,9,1
393,875,1,102,8,0.7132429619537672,9,1
394,888,0,98,0,0.7132599805027886,9,1
395,898,1,85,2,0.7216253929722882,9,1
396,907,0,75,4,0.7259554351320415,9,1
397,911,1,70,3,0.7298791731455865,9,1
398,913,2,69,1,0.7316894473130758,9,1
399,916,0,65,4,0.7327110091989271,9,1
400,929,0,54,1,0.7337768423676889,9,1
401,929,1,51,3,0.7394361962897611,9,1
